date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-07-25,3249.14,3261.65,3243.69,3233.14,2055738.75,-6.91,-0.21,3241.622,3221.026,3209.793,2298325.3,2148322.25,1857033.06
2017-07-24,3230.9,3261.1,3250.6,3230.07,2330564.0,12.62,0.39,3230.398,3216.961,3207.169,2268423.67,2130585.64,1828346.72
2017-07-21,3236.59,3247.71,3237.98,3231.96,2060032.5,-6.88,-0.21,3215.57,3213.164,3203.911,2334721.42,2096457.25,1798608.13
2017-07-20,3227.51,3246.24,3244.86,3225.43,2321084.0,13.88,0.43,3212.458,3211.162,3199.905,2242968.47,2067169.41,1773028.33
2017-07-19,3181.4,3232.94,3230.98,3179.73,2724207.25,43.41,1.36,3207.118,3207.92,3195.035,2169358.9,2010870.3,1752646.13
2017-07-18,3159.73,3187.67,3187.57,3150.13,1906230.62,11.11,0.35,3200.43,3205.535,3191.296,1998319.2,1886746.06,1684779.9
2017-07-17,3219.79,3230.35,3176.46,3139.5,2662052.75,-45.96,-1.43,3203.524,3205.058,3188.918,1992747.6,1837237.96,1660064.27
2017-07-14,3212.03,3222.98,3222.42,3204.85,1601267.75,4.26,0.13,3210.758,3207.003,3187.313,1858193.07,1711338.4,1594407.51
2017-07-13,3192.36,3219.27,3218.16,3190.34,1953036.12,20.62,0.65,3209.866,3204.004,3182.351,1891370.35,1672676.16,1579170.5
2017-07-12,3201.93,3215.2,3197.54,3177.93,1869008.75,-5.5,-0.17,3208.722,3200.994,3178.068,1852381.7,1606128.02,1554995.82
2017-07-11,3201.52,3226.91,3203.04,3199.22,1878372.62,-9.59,-0.3,3210.64,3198.56,3174.724,1775172.92,1565743.87,1530718.91
2017-07-10,3208.46,3223.34,3212.63,3203.21,1989280.12,-5.33,-0.17,3206.592,3197.376,3172.259,1681728.32,1526107.81,1500959.41
2017-07-07,3203.82,3219.52,3217.96,3195.29,1767154.12,5.52,0.17,3203.248,3194.657,3168.621,1564483.72,1500759.01,1474860.12
2017-07-06,3203.86,3215.95,3212.44,3188.77,1758092.88,5.31,0.17,3198.142,3188.648,3165.643,1453981.98,1478887.25,1466570.58
2017-07-05,3179.22,3207.31,3207.13,3174.71,1482964.88,24.33,0.76,3193.266,3182.149,3162.538,1359874.35,1494421.96,1454804.77
2017-07-04,3192.89,3193.06,3182.8,3174.31,1411149.62,-13.11,-0.41,3186.48,3177.057,3159.197,1356314.82,1482813.74,1467271.03
2017-07-03,3192.0,3196.29,3195.91,3177.02,1403057.12,3.48,0.11,3188.16,3172.778,3155.164,1370487.3,1482890.57,1453433.53
2017-06-30,3176.95,3193.24,3192.43,3171.57,1214645.38,4.37,0.14,3186.066,3167.624,3149.952,1437034.3,1477476.62,1449565.82
2017-06-29,3174.98,3188.77,3188.06,3174.28,1287554.75,14.86,0.47,3179.154,3160.698,3145.607,1503792.52,1485664.85,1460086.02
2017-06-28,3183.63,3193.44,3173.2,3170.79,1465167.25,-18.0,-0.56,3171.032,3155.141,3141.335,1628969.57,1503863.62,1477216.14
2017-06-27,3183.42,3193.46,3191.2,3172.46,1482012.0,5.76,0.18,3167.634,3150.888,3138.534,1609312.65,1495693.94,1480432.99
2017-06-26,3157.0,3187.89,3185.44,3156.98,1735792.12,27.57,0.87,3157.396,3147.142,3134.477,1595293.85,1475811.01,1484294.14
2017-06-23,3138.44,3158.05,3157.87,3118.09,1548436.5,10.42,0.33,3149.182,3142.586,3130.597,1517918.95,1448961.22,1493200.45
2017-06-22,3152.24,3186.98,3147.45,3146.64,1913440.0,-8.76,-0.28,3142.242,3142.639,3125.907,1467537.17,1454253.91,1485685.3
2017-06-21,3148.99,3157.03,3156.21,3132.62,1366882.62,16.2,0.52,3139.25,3142.927,3121.632,1378757.67,1415187.57,1479168.6
2017-06-20,3148.02,3150.46,3140.01,3134.61,1411918.0,-4.36,-0.14,3134.142,3141.338,3117.606,1382075.22,1451728.32,1487666.33
2017-06-19,3122.16,3146.77,3144.37,3121.78,1348917.62,21.2,0.68,3136.888,3137.55,3115.137,1356328.17,1423976.49,1481888.04
2017-06-16,3126.37,3134.25,3123.17,3117.86,1296527.62,-9.32,-0.3,3135.99,3132.279,3112.425,1380003.5,1421655.02,1488752.18
2017-06-15,3125.59,3137.59,3132.49,3117.08,1469542.5,1.82,0.06,3143.036,3130.516,3111.489,1440970.65,1434507.19,1508262.88
2017-06-14,3146.75,3149.17,3130.67,3125.35,1383470.38,-23.07,-0.73,3146.604,3127.529,3110.512,1451617.48,1450568.66,1521673.54
2017-06-13,3134.01,3155.99,3153.74,3131.04,1283182.75,13.86,0.44,3148.534,3126.18,3108.49,1521381.42,1465172.05,1520330.38
2017-06-12,3149.53,3164.95,3139.88,3135.31,1467294.25,-18.52,-0.59,3138.212,3121.812,3104.979,1491624.8,1492777.26,1536013.29
2017-06-09,3147.45,3165.92,3158.4,3146.11,1601363.38,8.07,0.26,3128.568,3118.607,3101.06,1463306.55,1537439.68,1558319.53
2017-06-08,3136.47,3153.26,3150.33,3132.83,1522776.62,10.01,0.32,3117.996,3109.175,3095.779,1428043.72,1517116.69,1558648.59
2017-06-07,3101.76,3140.77,3140.32,3098.95,1732290.12,38.19,1.23,3108.454,3100.337,3092.289,1449519.85,1543149.63,1550043.09
2017-06-06,3084.54,3102.86,3102.13,3078.79,1134399.62,10.47,0.34,3103.826,3093.873,3089.204,1408962.67,1523604.34,1553692.04
2017-06-05,3102.11,3105.51,3091.66,3084.83,1325703.0,-13.88,-0.45,3105.412,3092.723,3089.249,1493929.73,1539799.6,1585078.88
2017-06-02,3094.23,3110.39,3105.54,3081.85,1425049.25,2.92,0.09,3108.646,3092.571,3091.035,1611572.8,1555849.34,1607777.47
2017-06-01,3108.42,3113.52,3102.62,3097.68,1630157.25,-14.56,-0.47,3100.354,3092.461,3092.525,1606189.65,1582018.58,1618406.97
2017-05-31,3125.33,3143.28,3117.18,3111.56,1529504.25,7.12,0.23,3092.22,3093.495,3094.58,1636779.4,1592778.41,1614010.59
2017-05-26,3101.29,3120.66,3110.06,3100.39,1559234.88,2.23,0.07,3083.92,3090.8,3096.453,1638246.0,1575488.71,1618980.33
